,antecedent,consequent,support,confidence
0,[19],[0],0.17,0.33
1,"[19, 25]",[0],0.06,0.33
2,[19],[0],0.17,0.33
3,"[16, 19]",[0],0.06,0.33
4,[19],[1],0.17,0.33
5,"[19, 23]",[1],0.06,0.33
6,[19],[1],0.17,0.33
7,"[17, 19]",[1],0.06,0.33
8,[19],[2],0.17,0.33
9,"[19, 25]",[2],0.06,0.33
10,[19],[2],0.17,0.33
11,"[19, 31]",[2],0.07,0.5
12,[19],[3],0.1,0.2
13,"[19, 25]",[3],0.03,0.2
14,[19],[3],0.1,0.2
15,"[0, 19]",[3],0.03,0.2
16,[19],[4],0.1,0.2
17,"[19, 25]",[4],0.03,0.2
18,[19],[4],0.1,0.2
19,"[0, 19]",[4],0.03,0.2
20,[19],[5],0.1,0.2
21,"[19, 25]",[5],0.03,0.2
22,[19],[5],0.1,0.2
23,"[0, 19]",[5],0.03,0.2
24,[19],[6],0.1,0.2
25,"[19, 25]",[6],0.03,0.2
26,[19],[6],0.1,0.2
27,"[0, 19]",[6],0.03,0.2
28,[19],[7],0.1,0.2
29,"[19, 25]",[7],0.03,0.2
30,[19],[7],0.1,0.2
31,"[0, 19]",[7],0.03,0.2
32,[19],[8],0.12,0.25
33,"[19, 25]",[8],0.04,0.25
34,[19],[8],0.12,0.25
35,"[1, 19]",[8],0.04,0.25
36,[19],[9],0.12,0.25
37,"[19, 25]",[9],0.04,0.25
38,[19],[9],0.12,0.25
39,"[1, 19]",[9],0.04,0.25
40,[19],[10],0.12,0.25
41,"[19, 25]",[10],0.04,0.25
42,[19],[10],0.12,0.25
43,"[1, 19]",[10],0.04,0.25
44,[19],[11],0.12,0.25
45,"[19, 25]",[11],0.04,0.25
46,[19],[11],0.12,0.25
47,"[1, 19]",[11],0.04,0.25
48,[19],[12],0.12,0.25
49,"[16, 19]",[12],0.04,0.25
50,[19],[12],0.12,0.25
51,"[0, 19]",[12],0.04,0.25
52,[19],[13],0.12,0.25
53,"[19, 25]",[13],0.04,0.25
54,[19],[13],0.12,0.25
55,"[1, 19]",[13],0.04,0.25
56,[19],[14],0.12,0.25
57,"[0, 19]",[14],0.04,0.25
58,[19],[14],0.12,0.25
59,"[16, 19]",[14],0.04,0.25
60,[19],[15],0.12,0.25
61,"[17, 19]",[15],0.04,0.25
62,[19],[15],0.12,0.25
63,"[0, 19]",[15],0.04,0.25
64,[19],[16],0.17,0.33
65,"[19, 25]",[16],0.06,0.33
66,[19],[16],0.17,0.33
67,"[19, 23]",[16],0.06,0.33
68,[20],[17],0.17,0.33
69,"[20, 28]",[17],0.05,0.35
70,[20],[17],0.17,0.33
71,"[20, 23]",[17],0.06,0.33
72,[20],[18],0.17,0.33
73,"[20, 28]",[18],0.05,0.31
74,[20],[18],0.17,0.33
75,"[20, 25]",[18],0.06,0.33
76,[25],[19],0.17,0.5
77,"[0, 25]",[19],0.06,0.5
78,[25],[19],0.17,0.5
79,"[16, 25]",[19],0.06,0.5
80,[16],[20],0.17,0.5
81,"[16, 25]",[20],0.06,0.5
82,[16],[20],0.17,0.5
83,"[16, 28]",[20],0.05,0.43
84,[19],[21],0.17,0.33
85,"[19, 25]",[21],0.06,0.33
86,[19],[21],0.17,0.33
87,"[1, 19]",[21],0.06,0.33
88,[19],[22],0.17,0.33
89,"[1, 19]",[22],0.06,0.33
90,[19],[22],0.17,0.33
91,"[19, 25]",[22],0.06,0.33
92,[19],[23],0.17,0.33
93,"[19, 25]",[23],0.06,0.33
94,[19],[23],0.17,0.33
95,"[1, 19]",[23],0.06,0.33
96,[19],[24],0.17,0.33
97,"[19, 28]",[24],0.1,0.55
98,[19],[24],0.17,0.33
99,"[16, 19]",[24],0.06,0.33
100,[19],[25],0.17,0.33
101,"[0, 19]",[25],0.06,0.33
102,[19],[25],0.17,0.33
103,"[16, 19]",[25],0.06,0.33
104,[29],[26],0.33,1.0
105,"[19, 29]",[26],0.17,1.0
106,[29],[26],0.33,1.0
107,"[17, 29]",[26],0.11,1.0
108,[28],[27],0.0,0.0
109,"[25, 28]",[27],0.0,0.0
110,[28],[27],0.0,0.0
111,"[19, 28]",[27],0.0,0.0
112,[19],[28],0.17,0.35
113,"[19, 25]",[28],0.08,0.46
114,[19],[28],0.17,0.35
115,"[19, 23]",[28],0.05,0.31
116,[26],[29],0.33,1.0
117,"[19, 26]",[29],0.17,1.0
118,[26],[29],0.33,1.0
119,"[17, 26]",[29],0.11,1.0
120,[28],[30],0.0,0.0
121,"[25, 28]",[30],0.0,0.0
122,[28],[30],0.0,0.0
123,"[20, 28]",[30],0.0,0.0
124,[19],[31],0.14,0.29
125,"[19, 25]",[31],0.09,0.54
126,[19],[31],0.14,0.29
127,"[1, 19]",[31],0.05,0.27
