,antecedent,consequent,support,confidence
0,[26],[0],0.8882978723404256,0.8924866394215656
1,"[26, 57]",[0],0.8776595744680851,0.8944515306122449
2,[26],[0],0.8882978723404256,0.8924866394215656
3,"[26, 49]",[0],0.8854818523153942,0.8927444794952681
4,[57],[1],0.10763454317897372,0.10924102889806288
5,"[26, 57]",[1],0.10356695869837297,0.10554846938775511
6,[57],[1],0.10763454317897372,0.10924102889806288
7,"[37, 57]",[1],0.10763454317897372,0.11011523687580026
8,[57],[2],0.9148936170212766,0.9285487456335344
9,"[26, 57]",[2],0.9133291614518148,0.9308035714285715
10,[57],[2],0.9148936170212766,0.9285487456335344
11,"[49, 57]",[2],0.9114518147684606,0.9282982791586999
12,[57],[3],0.07040050062578222,0.07145125436646553
13,"[26, 57]",[3],0.0678973717146433,0.06919642857142858
14,[57],[3],0.07040050062578222,0.07145125436646553
15,"[37, 57]",[3],0.0688360450563204,0.07042253521126761
16,[26],[4],0.9602628285356696,0.9647909462433197
17,"[26, 49]",[4],0.9568210262828536,0.9646687697160883
18,[26],[4],0.9602628285356696,0.9647909462433197
19,"[26, 57]",[4],0.9461827284105131,0.9642857142857143
20,[26],[5],0.03504380475594493,0.035209053756680285
21,"[26, 57]",[5],0.03504380475594493,0.03571428571428571
22,[26],[5],0.03504380475594493,0.035209053756680285
23,"[26, 55]",[5],0.03504380475594493,0.03522012578616352
24,[26],[6],0.8967459324155194,0.9009745363093367
25,"[26, 49]",[6],0.8942428035043805,0.9015772870662461
26,[26],[6],0.8967459324155194,0.9009745363093367
27,"[26, 57]",[6],0.8851689612015019,0.9021045918367347
28,[57],[7],0.09824780976220275,0.09971419498253413
29,"[49, 57]",[7],0.09730913642052566,0.09910771191841938
30,[57],[7],0.09824780976220275,0.09971419498253413
31,"[26, 57]",[7],0.09605757196495619,0.09789540816326531
32,[57],[8],0.6536295369211514,0.6633852016513179
33,"[26, 57]",[8],0.6495619524405507,0.6619897959183674
34,[57],[8],0.6536295369211514,0.6633852016513179
35,"[49, 57]",[8],0.6501877346683355,0.6622052262587635
36,[57],[9],0.3316645807259074,0.3366147983486821
37,"[26, 57]",[9],0.3316645807259074,0.3380102040816327
38,[57],[9],0.3316645807259074,0.3366147983486821
39,"[49, 57]",[9],0.3316645807259074,0.33779477374123645
40,[55],[10],0.5384856070087609,0.5386541471048513
41,"[26, 55]",[10],0.5337922403003754,0.5364779874213835
42,[55],[10],0.5384856070087609,0.5386541471048513
43,"[2, 55]",[10],0.4946808510638298,0.5323232323232323
44,[49],[11],0.4602628285356696,0.46185243328100467
45,"[49, 57]",[11],0.4602628285356696,0.46876991714467814
46,[49],[11],0.4602628285356696,0.46185243328100467
47,"[26, 49]",[11],0.4602628285356696,0.4640378548895899
48,[14],[12],0.6079474342928661,0.7772000000000001
49,"[14, 26]",[12],0.6041927409261577,0.7767497988736927
50,[14],[12],0.6079474342928661,0.7772000000000001
51,"[14, 49]",[12],0.60450563204005,0.7762153475291281
52,[57],[13],0.3548185231539424,0.3601143220069863
53,"[37, 57]",[13],0.3548185231539424,0.36299615877080665
54,[57],[13],0.3548185231539424,0.3601143220069863
55,"[26, 57]",[13],0.3545056320400501,0.3612882653061225
56,[26],[14],0.7778473091364205,0.7815152467777429
57,"[26, 57]",[14],0.7650187734668336,0.779655612244898
58,[26],[14],0.7778473091364205,0.7815152467777429
59,"[26, 49]",[14],0.7744055068836045,0.7807570977917981
60,[55],[15],0.21777221526908636,0.21784037558685446
61,"[55, 57]",[15],0.2165206508135169,0.21982210927573062
62,[55],[15],0.21777221526908636,0.21784037558685446
63,"[37, 55]",[15],0.21777221526908636,0.21962764278952351
64,[26],[16],0.6151439299123905,0.6180446400502987
65,"[26, 57]",[16],0.6041927409261577,0.6157525510204082
