,antecedent,consequent,support,confidence
0,[20],[0],0.17,0.33
1,"[20, 23]",[0],0.06,0.33
2,[20],[0],0.17,0.33
3,"[20, 31]",[0],0.03,0.19
4,[20],[1],0.17,0.33
5,"[20, 31]",[1],0.05,0.31
6,[20],[1],0.17,0.33
7,"[20, 23]",[1],0.06,0.33
8,[20],[2],0.17,0.33
9,"[20, 23]",[2],0.06,0.33
10,[20],[2],0.17,0.33
11,"[20, 31]",[2],0.08,0.5
12,[19],[3],0.1,0.2
13,"[19, 23]",[3],0.03,0.2
14,[19],[3],0.1,0.2
15,"[19, 31]",[3],0.01,0.06
16,[19],[4],0.1,0.2
17,"[19, 31]",[4],0.01,0.06
18,[19],[4],0.1,0.2
19,"[19, 23]",[4],0.03,0.2
20,[19],[5],0.1,0.2
21,"[19, 31]",[5],0.03,0.19
22,[19],[5],0.1,0.2
23,"[19, 23]",[5],0.03,0.2
24,[19],[6],0.1,0.2
25,"[19, 31]",[6],0.05,0.31
26,[19],[6],0.1,0.2
27,"[19, 23]",[6],0.03,0.2
28,[19],[7],0.1,0.2
29,"[19, 31]",[7],0.06,0.39
30,[19],[7],0.1,0.2
31,"[19, 23]",[7],0.03,0.2
32,[19],[8],0.12,0.25
33,"[19, 23]",[8],0.04,0.25
34,[19],[8],0.12,0.25
35,"[19, 31]",[8],0.03,0.22
36,[19],[9],0.12,0.25
37,"[19, 23]",[9],0.04,0.25
38,[19],[9],0.12,0.25
39,"[19, 31]",[9],0.04,0.25
40,[19],[10],0.12,0.25
41,"[19, 31]",[10],0.04,0.26
42,[19],[10],0.12,0.25
43,"[19, 23]",[10],0.04,0.25
44,[19],[11],0.12,0.25
45,"[19, 23]",[11],0.04,0.25
46,[19],[11],0.12,0.25
47,"[19, 31]",[11],0.04,0.28
48,[20],[12],0.12,0.25
49,"[20, 31]",[12],0.03,0.2
50,[20],[12],0.12,0.25
51,"[20, 23]",[12],0.04,0.25
52,[20],[13],0.12,0.25
53,"[20, 31]",[13],0.04,0.23
54,[20],[13],0.12,0.25
55,"[20, 23]",[13],0.04,0.25
56,[20],[14],0.12,0.25
57,"[20, 31]",[14],0.05,0.29
58,[20],[14],0.12,0.25
59,"[20, 23]",[14],0.04,0.25
60,[20],[15],0.12,0.25
61,"[20, 31]",[15],0.05,0.29
62,[20],[15],0.12,0.25
63,"[20, 23]",[15],0.04,0.25
64,[20],[16],0.17,0.33
65,"[20, 23]",[16],0.06,0.33
66,[20],[16],0.17,0.33
67,"[20, 31]",[16],0.05,0.32
68,[19],[17],0.17,0.33
69,"[19, 23]",[17],0.06,0.33
70,[19],[17],0.17,0.33
71,"[19, 31]",[17],0.05,0.37
72,[19],[18],0.17,0.33
73,"[19, 23]",[18],0.06,0.33
74,[19],[18],0.17,0.33
75,"[19, 31]",[18],0.06,0.43
76,[23],[19],0.17,0.5
77,"[18, 23]",[19],0.06,0.5
78,[23],[19],0.17,0.5
79,"[23, 31]",[19],0.06,0.47
80,[23],[20],0.17,0.5
81,"[18, 23]",[20],0.06,0.5
82,[23],[20],0.17,0.5
83,"[23, 31]",[20],0.07,0.53
84,[19],[21],0.17,0.33
85,"[19, 31]",[21],0.04,0.29
86,[19],[21],0.17,0.33
87,"[1, 19]",[21],0.06,0.33
88,[19],[22],0.17,0.33
89,"[19, 31]",[22],0.04,0.29
90,[19],[22],0.17,0.33
91,"[19, 25]",[22],0.06,0.33
92,[19],[23],0.17,0.33
93,"[18, 19]",[23],0.06,0.33
94,[19],[23],0.17,0.33
95,"[19, 31]",[23],0.06,0.42
96,[19],[24],0.17,0.33
97,"[19, 31]",[24],0.05,0.38
98,[19],[24],0.17,0.33
99,"[19, 23]",[24],0.06,0.33
100,[19],[25],0.17,0.33
101,"[19, 31]",[25],0.09,0.62
102,[19],[25],0.17,0.33
103,"[19, 23]",[25],0.06,0.33
104,[29],[26],0.33,1.0
105,"[19, 29]",[26],0.17,1.0
106,[29],[26],0.33,1.0
107,"[2, 29]",[26],0.11,1.0
108,[20],[27],0.0,0.0
109,"[20, 31]",[27],0.0,0.0
110,[20],[27],0.0,0.0
111,"[0, 20]",[27],0.0,0.0
112,[19],[28],0.17,0.35
113,"[19, 23]",[28],0.05,0.31
114,[19],[28],0.17,0.35
115,"[19, 24]",[28],0.1,0.58
116,[26],[29],0.33,1.0
117,"[19, 26]",[29],0.17,1.0
118,[26],[29],0.33,1.0
119,"[2, 26]",[29],0.11,1.0
120,[28],[30],0.0,0.0
121,"[19, 28]",[30],0.0,0.0
122,[28],[30],0.0,0.0
123,"[24, 28]",[30],0.0,0.0
124,[19],[31],0.14,0.29
125,"[19, 23]",[31],0.06,0.36
126,[19],[31],0.14,0.29
127,"[2, 19]",[31],0.07,0.43
